date,close_price
2022-10-01,19312.0957
2022-10-02,19044.10742
2022-10-03,19623.58008
2022-10-04,20336.84375
2022-10-05,20160.7168
2022-10-06,19955.44336
2022-10-07,19546.84961
2022-10-08,19416.56836
2022-10-09,19446.42578
2022-10-10,19141.48438
2022-10-11,19051.41797
2022-10-12,19157.44531
2022-10-13,19382.9043
2022-10-14,19185.65625
2022-10-15,19067.63477
2022-10-16,19268.09375
2022-10-17,19550.75781
2022-10-18,19334.41602
2022-10-19,19139.53516
2022-10-20,19053.74023
2022-10-21,19172.46875
2022-10-22,19208.18945
2022-10-23,19567.00781
2022-10-24,19345.57227
2022-10-25,20095.85742
2022-10-26,20770.44141
2022-10-27,20285.83594
2022-10-28,20595.35156
2022-10-29,20818.47656
2022-10-30,20635.60352
2022-10-31,20495.77344
2022-11-01,20485.27344
2022-11-02,20159.50391
2022-11-03,20209.98828
2022-11-04,21147.23047
2022-11-05,21282.69141
2022-11-06,20926.48633
2022-11-07,20602.81641
2022-11-08,18541.27148
2022-11-09,15880.78027
2022-11-10,17586.77148
2022-11-11,17034.29297
2022-11-12,16799.18555
2022-11-13,16353.36523
2022-11-14,16618.19922
2022-11-15,16884.61328
2022-11-16,16669.43945
2022-11-17,16687.51758
2022-11-18,16697.77734
2022-11-19,16711.54688
2022-11-20,16291.83203
2022-11-21,15787.28418
2022-11-22,16189.76953
2022-11-23,16610.70703
2022-11-24,16604.46484
2022-11-25,16521.8418
2022-11-26,16464.28125
2022-11-27,16444.62695
2022-11-28,16217.32227
2022-11-29,16444.98242
2022-11-30,17168.56641
2022-12-01,16967.13281
2022-12-02,17088.66016
2022-12-03,16908.23633
2022-12-04,17130.48633
2022-12-05,16974.82617
2022-12-06,17089.50391
2022-12-07,16848.12695
2022-12-08,17233.47461
2022-12-09,17133.15234
2022-12-10,17128.72461
2022-12-11,17104.19336
2022-12-12,17206.4375
2022-12-13,17781.31836
2022-12-14,17815.65039
2022-12-15,17364.86523
2022-12-16,16647.48438
2022-12-17,16795.0918
2022-12-18,16757.97656
2022-12-19,16439.67969
2022-12-20,16906.30469
2022-12-21,16817.53516
2022-12-22,16830.3418
2022-12-23,16796.95313
2022-12-24,16847.75586
2022-12-25,16841.98633
2022-12-26,16919.80469
2022-12-27,16717.17383
2022-12-28,16552.57227
2022-12-29,16642.3418
2022-12-30,16602.58594
2022-12-31,16547.49609
2023-01-01,16625.08008
2023-01-02,16688.4707
2023-01-03,16679.85742
2023-01-04,16863.23828
2023-01-05,16836.73633
2023-01-06,16951.96875
2023-01-07,16955.07813
2023-01-08,17091.14453
2023-01-09,17196.55469
2023-01-10,17446.29297
2023-01-11,17934.89648
2023-01-12,18869.58789
2023-01-13,19909.57422
2023-01-14,20976.29883
2023-01-15,20880.79883
2023-01-16,21169.63281
2023-01-17,21161.51953
2023-01-18,20688.78125
2023-01-19,21086.79297
2023-01-20,22676.55273
2023-01-21,22777.625
2023-01-22,22720.41602
2023-01-23,22934.43164
2023-01-24,22636.46875
2023-01-25,23117.85938
2023-01-26,23032.77734
2023-01-27,23078.72852
2023-01-28,23031.08984
2023-01-29,23774.56641
2023-01-30,22840.13867
2023-01-31,23139.2832
2023-02-01,23723.76953
2023-02-02,23471.87109
2023-02-03,23449.32227
2023-02-04,23331.84766
2023-02-05,22955.66602
2023-02-06,22760.10938
2023-02-07,23264.29102
2023-02-08,22939.39844
2023-02-09,21819.03906
2023-02-10,21651.18359
2023-02-11,21870.875
2023-02-12,21788.20313
2023-02-13,21808.10156
2023-02-14,22220.80469
2023-02-15,24307.8418
2023-02-16,23623.47461
2023-02-17,24565.60156
2023-02-18,24641.27734
2023-02-19,24327.64258
2023-02-20,24829.14844
2023-02-21,24436.35352
2023-02-22,24188.84375
2023-02-23,23947.49219
2023-02-24,23198.12695
2023-02-25,23175.375
2023-02-26,23561.21289
2023-02-27,23522.87109
2023-02-28,23147.35352
2023-03-01,23646.55078
2023-03-02,23475.4668
2023-03-03,22362.67969
2023-03-04,22353.34961
2023-03-05,22435.51367
2023-03-06,22429.75781
2023-03-07,22219.76953
2023-03-08,21718.08008
2023-03-09,20363.02148
2023-03-10,20187.24414
2023-03-11,20632.41016
2023-03-12,22163.94922
2023-03-13,24197.5332
2023-03-14,24746.07422
2023-03-15,24375.96094
2023-03-16,25052.78906
2023-03-17,27423.92969
2023-03-18,26965.87891
2023-03-19,28038.67578
2023-03-20,27767.23633
2023-03-21,28175.81641
2023-03-22,27307.4375
2023-03-23,28333.97266
2023-03-24,27493.28516
2023-03-25,27494.70703
2023-03-26,27994.33008
2023-03-27,27139.88867
2023-03-28,27268.13086
2023-03-29,28348.44141
2023-03-30,28033.5625
2023-03-31,28478.48438
2023-04-01,28411.03516
2023-04-02,28199.30859
2023-04-03,27790.2207
2023-04-04,28168.08984
2023-04-05,28177.98438
2023-04-06,28044.14063
2023-04-07,27925.85938
2023-04-08,27947.79492
2023-04-09,28333.05078
2023-04-10,29652.98047
2023-04-11,30235.05859
2023-04-12,30139.05273
2023-04-13,30399.06641
2023-04-14,30485.69922
2023-04-15,30318.49609
2023-04-16,30315.35547
2023-04-17,29445.04492
2023-04-18,30397.55273
2023-04-19,28822.67969
2023-04-20,28245.98828
2023-04-21,27276.91016
2023-04-22,27817.5
2023-04-23,27591.38477
2023-04-24,27525.33984
2023-04-25,28307.59766
2023-04-26,28422.70117
2023-04-27,29473.78711
2023-04-28,29340.26172
2023-04-29,29248.48828
2023-04-30,29268.80664
2023-05-01,28091.56836
2023-05-02,28680.53711
2023-05-03,29006.30859
2023-05-04,28847.71094
2023-05-05,29534.38477
2023-05-06,28904.62305
2023-05-07,28454.97852
2023-05-08,27694.27344
2023-05-09,27658.77539
2023-05-10,27621.75586
2023-05-11,27000.78906
2023-05-12,26804.99023
2023-05-13,26784.07813
2023-05-14,26930.63867
2023-05-15,27192.69336
2023-05-16,27036.65039
2023-05-17,27398.80273
2023-05-18,26832.20898
2023-05-19,26890.12891
2023-05-20,27129.58594
2023-05-21,26753.82617
2023-05-22,26851.27734
2023-05-23,27225.72656
2023-05-24,26334.81836
2023-05-25,26476.20703
2023-05-26,26719.29102
2023-05-27,26868.35352
2023-05-28,28085.64648
2023-05-29,27745.88477
2023-05-30,27702.34961
2023-05-31,27219.6582
2023-06-01,26819.97266
2023-06-02,27249.58984
2023-06-03,27203.27148
























































































































































































































































































































































































































































































































































































































































